Date,Home Team,Away Team,Home Goals,Away Goals,,,
3/13/2026,Washington Spirit,Portland Thorns,0,1,,,
3/14/2026,Boston Legacy,Gotham FC,0,1,,,
3/14/2026,KC Current,Utah Royals,2,1,,,
3/14/2026,Bay FC,Denver Summit,2,1,,,
3/14/2026,North Carolina Courage,Racing Louisville,2,1,,,
3/14/2026,San Diego Wave,Houston Dash,0,1,,,
3/15/2026,Orlando Pride,Seattle Reign,1,2,,,
3/15/2026,Angel City FC,Chicago Stars,4,0,,,
3/20/2026,Orlando Pride,Denver Summit,1,1,,,
3/20/2026,Racing Louisville,Washington Spirit,2,2,,,
3/20/2026,Portland Thorns,Seattle Reign,2,0,,,
3/21/2026,Houston Dash,Boston Legacy,3,0,,,
3/21/2026,Gotham FC,North Carolina Courage,0,0,,,
3/21/2026,Bay FC,Angel City FC,1,3,,,
3/22/2026,Chicago Stars,KC Current,2,1,,,
3/22/2026,Utah Royals,San Diego Wave,1,2,,,
3/25/2026,Washington Spirit,Utah Royals,1,1,,,
3/25/2026,Gotham FC,Denver Summit,0,2,,,
3/25/2026,Chicago Stars,Orlando Pride,0,3,,,
3/25/2026,Seattle Reign,KC Current,3,0,,,
3/25/2026,San Diego Wave,Portland Thorns,3,1,,,
3/27/2026,Angel City FC,Houston Dash,2,1,,,
3/28/2026,Boston Legacy,Utah Royals,1,2,,,
3/28/2026,Denver Summit,Washington Spirit,0,0,,,
3/28/2026,Portland Thorns,KC Current,2,0,,,
3/28/2026,Seattle Reign,Racing Louisville,2,1,,,
3/28/2026,North Carolina Courage,Bay FC,1,3,,,
3/28/2026,San Diego Wave,Chicago Stars,2,0,,,
3/29/2026,Gotham FC,Orlando Pride,0,0,,,
4/3/2026,Boston Legacy,San Diego Wave,0,1,,,
4/3/2026,Orlando Pride,Angel City FC,2,1,,,
4/3/2026,Houston Dash,Racing Louisville,4,3,,,
4/3/2026,Utah Royals,Chicago Stars,1,0,,,
4/4/2026,KC Current,Gotham FC,2,1,,,
4/4/2026,North Carolina Courage,Portland Thorns,2,2,,,
4/4/2026,Seattle Reign,Denver Summit,0,0,,,
4/5/2026,Bay FC,Washington Spirit,0,2,,,
4/24/2026,Racing Louisville,Orlando Pride,3,2,,,
,Washington Spirit,KC Current,4,0,,,
4/25/2026,Gotham FC,Bay FC,3,0,,,
4/25/2026,Chicago Stars,Boston Legacy,2,0,,,
4/25/2026,Houston Dash,North Carolina Courage,0,1,,,
4/25/2026,Denver Summit,San Diego Wave,2,3,,,
4/26/2026,Angel City FC,Portland Thorns,1,2,,,
4/26/2026,Seattle Reign,Utah Royals,0,3,,,
4/29/2026,Boston Legacy,North Carolina Courage,2,2,,,
4/29/2026,Washington Spirit,Racing Louisville,1,0,,,
4/29/2026,Chicago Stars,Gotham FC,0,2,,,
4/29/2026,Portland Thorns,San Diego Wave,2,0,,,
5/1/2026,Houston Dash,Seattle Reign,0,0,,,
5/2/2026,Orlando Pride,Washington Spirit,2,4,,,
5/2/2026,North Carolina Courage,KC Current,1,2,,,
5/2/2026,Angel City FC,Utah Royals,0,1,,,
5/3/2026,Chicago Stars,Portland Thorns,0,2,,,
5/3/2026,Boston Legacy,Denver Summit,3,2,,,
5/3/2026,Gotham FC,Racing Louisville,1,0,,,
5/3/2026,San Diego Wave,Bay FC,0,1,,,
5/6/2026,Utah Royals,Houston Dash,2,0,,,
5/8/2026,Racing Louisville,Portland Thorns,3,1,,,
5/8/2026,Orlando Pride,North Carolina Courage,1,0,,,
5/9/2026,Gotham FC,Boston Legacy,1,1,,,
5/9/2026,Angel City FC,San Diego Wave,1,2,,,
5/9/2026,Houston Dash,Denver Summit,1,4,,,
5/10/2026,KC Current,Chicago Stars,3,0,,,
5/10/2026,Bay FC,Utah Royals,0,0,,,
5/10/2026,Seattle Reign,Washington Spirit,0,1,,,
5/12/2026,Boston Legacy,Orlando Pride,2,1,,,
5/15/2026,KC Current,Houston Dash,3,0,,,
5/15/2026,San Diego Wave,Washington Spirit,2,1,,,
5/15/2026,Seattle Reign,Gotham FC,0,2,,,
5/15/2026,Bay FC,Boston Legacy,1,1,,,
5/16/2026,North Carolina Courage,Chicago Stars,4,0,,,
5/16/2026,Denver Summit,Orlando Pride,3,1,,,
5/17/2026,Portland Thorns,Angel City FC,0,0,,,
5/17/2026,Utah Royals,Racing Louisville,2,1,,,
5/20/2026,Houston Dash,San Diego Wave,2,2,,,
5/20/2026,Portland Thorns,Bay FC,2,0,,,
5/20/2026,Angel City FC,KC Current,2,1,,,
5/22/2026,Boston Legacy,Seattle Reign,1,2,,,
5/23/2026,Racing Louisville,North Carolina Courage,1,2,,,
5/23/2026,Utah Royals,Denver Summit,2,1,,,
5/23/2026,Houston Dash,Angel City FC,2,1,,,
5/24/2026,KC Current,Portland Thorns,3,1,,,
5/24/2026,Bay FC,Chicago Stars,0,1,,,
5/24/2026,San Diego Wave,Orlando Pride,0,1,,,
5/29/2026,Racing Louisville,Denver Summit,0,1,,,
5/29/2026,Orlando Pride,Bay FC,3,1,,,
5/30/2026,KC Current,Boston Legacy,1,0,,,
,Portland Thorns,Utah Royals,2,2,,,
,Washington Spirit,Seattle Reign,2,1,,,
5/31/2026,Chicago Stars,San Diego Wave,0,2,,,
,Gotham FC,Houston Dash,1,0,,,
,Angel City FC,North Carolina Courage,1,2,,,
